year,city,glo_avg_temp,munich_avg_temp
1961,Munich,8.80,5.85
1962,Munich,8.75,3.94
1963,Munich,8.86,3.99
1964,Munich,8.41,4.92
1965,Munich,8.53,4.08
1966,Munich,8.60,5.10
1967,Munich,8.70,5.18
1968,Munich,8.52,4.68
1969,Munich,8.60,4.42
1970,Munich,8.70,4.41
1971,Munich,8.60,4.86
1972,Munich,8.50,4.69
1973,Munich,8.95,4.57
1974,Munich,8.47,5.23
1975,Munich,8.74,5.20
1976,Munich,8.35,4.95
1977,Munich,8.85,5.32
1978,Munich,8.69,4.32
1979,Munich,8.73,4.87
1980,Munich,8.98,4.19
1981,Munich,9.17,4.82
1982,Munich,8.64,5.51
1983,Munich,9.03,5.60
1984,Munich,8.69,4.43
1985,Munich,8.66,4.52
1986,Munich,8.83,4.85
1987,Munich,8.99,4.69
1988,Munich,9.20,5.64
1989,Munich,8.92,5.88
1990,Munich,9.23,5.92
1991,Munich,9.18,4.93
1992,Munich,8.84,5.91
1993,Munich,8.87,5.33
1994,Munich,9.04,6.64
1995,Munich,9.35,5.33
1996,Munich,9.04,4.49
1997,Munich,9.20,5.79
1998,Munich,9.52,5.66
1999,Munich,9.29,5.55
2000,Munich,9.20,6.33
2001,Munich,9.41,5.59
2002,Munich,9.57,6.26
2003,Munich,9.53,6.12
2004,Munich,9.32,5.43
2005,Munich,9.70,5.01
2006,Munich,9.53,5.94
2007,Munich,9.73,6.28
2008,Munich,9.43,5.94
2009,Munich,9.51,5.89
2010,Munich,9.70,4.85
2011,Munich,9.52,6.56
2012,Munich,9.51,5.88
2013,Munich,9.61,6.00
